"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA"
"133","34","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","16","1","0","NA","3","0","0","0","1","0","0",8500,"119","NA","2"
"134","34","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8500,"119","NA","2"
"135","34","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","<=0.25",">512","1","0","NA","3","0","0","0","1","0","0",8500,"119","NA","2"
"136","34","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8500,"119","NA","2"
"137","35","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","<=8","2","0","0","1","0","1","0","0","0","0",9000,"75","1","4"
"138","35","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","0","1","0","1","0","0","0","0",9000,"75","1","4"
"139","35","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","2","0","0","1","0","1","0","0","0","0",9000,"75","1","4"
"140","35","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","16","2","0","0","1","0","1","0","0","0","0",9000,"75","1","4"
"141","36","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","NA","0","1","0","0","0","0","0",9000,"235","NA","4"
"142","36","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","0","1","0","0","0","0","0",9000,"235","NA","4"
"143","36","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","0","1","0","0","0","0","0",9000,"235","NA","4"
"144","36","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","64","1","0","NA","0","1","0","0","0","0","0",9000,"235","NA","4"
"145","37","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","2","0","0","1","0","0","0",9000,"112","1","3"
"146","37","4","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","1","0","1","2","0","0","1","0","0","0",9000,"112","1","3"
"147","37",">32","<=0.03","8","8","<=4","16","<=0.25","<=0.25","<=0.25",">64","<=1",">64",">32",">16",">512","1","0","1","2","0","0","1","0","0","0",9000,"112","1","3"
"148","37",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","0","1","2","0","0","1","0","0","0",9000,"112","1","3"
"153","39",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","0","1","4","0","0","0","0","1","0",9500,"NA","1","3"
"154","39",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","1",">512","2","0","1","4","0","0","0","0","1","0",9500,"NA","1","3"
"155","39","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","32","2","0","1","4","0","0","0","0","1","0",9500,"NA","1","3"
"156","39","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","32","2","0","1","4","0","0","0","0","1","0",9500,"NA","1","3"
"157","40",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","2","1","0","0","1","0","0","0","0","0",9000,"88","7","2"
"158","40",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","0","0","1","0","0","0","0","0",9000,"88","7","2"
